date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:05:57	845539/845539	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202026%2013:14:20%20GMT	https://www.giridhareye.org/	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/index.html	(from )
03:05:57	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:35:56%20GMT	https://www.giridhareye.org/robots.txt		(from )
03:05:58	82750/82750	---M--	200	added ('OK')	image/jpeg	etag:%22689716a2-1433e%22	https://www.giridhareye.org/wp-content/uploads/2024/10/peditrics2.jpg	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/wp-content/uploads/2024/10/peditrics2.jpg	(from https://www.giridhareye.org/)
03:05:58	1337/1337	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Mar%202026%2021:35:59%20GMT	https://www.giridhareye.org/sitemap.xml	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/sitemap.xml	(from https://www.giridhareye.org/)
03:05:58	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%22688384d4-10be%22	https://www.giridhareye.org/favicon.ico	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/favicon.ico	(from https://www.giridhareye.org/)
03:05:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:35:59%20GMT	https://www.giridhareye.org/touch-icon76.png	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/touch-icon76.png	(from https://www.giridhareye.org/)
03:05:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:35:59%20GMT	https://www.giridhareye.org/touch-icon120.png	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/touch-icon120.png	(from https://www.giridhareye.org/)
03:05:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:35:59%20GMT	https://www.giridhareye.org/touch-icon152.png	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/touch-icon152.png	(from https://www.giridhareye.org/)
03:05:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:36:00%20GMT	https://www.giridhareye.org/touch-icon180.png	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/touch-icon180.png	(from https://www.giridhareye.org/)
03:05:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2021:36:00%20GMT	https://www.giridhareye.org/touch-icon192.png	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/touch-icon192.png	(from https://www.giridhareye.org/)
03:06:00	963962/963962	---M--	200	added ('OK')	image/gif	etag:%2267ed2adf-eb57a%22	https://www.giridhareye.org/wp-content/uploads/2025/04/graduate.gif	C:/My%20Web%20Sites/doctorClone/www.giridhareye.org/wp-content/uploads/2025/04/graduate.gif	(from https://www.giridhareye.org/)
